"period","searchVolume"
"2021-11-10","1600"
"2021-11-11","1510"
"2021-11-12","1650"
"2021-11-13","1760"
"2021-11-14","1630"
"2021-11-15","1510"
"2021-11-16","1580"
"2021-11-17","1480"
"2021-11-18","1390"
"2021-11-19","1470"
"2021-11-20","1620"
"2021-11-21","1740"
"2021-11-22","1460"
"2021-11-23","1340"
"2021-11-24","1370"
"2021-11-25","1410"
"2021-11-26","1250"
"2021-11-27","1430"
"2021-11-28","1580"
"2021-11-29","1470"
"2021-11-30","1390"
"2021-12-01","1370"
"2021-12-02","1190"
"2021-12-03","1070"
"2021-12-04","1470"
"2021-12-05","1650"
"2021-12-06","1430"
"2021-12-07","1350"
"2021-12-08","1520"
"2021-12-09","1730"
"2021-12-10","1560"
"2021-12-11","1890"
"2021-12-12","1800"
"2021-12-13","1390"
"2021-12-14","1290"
"2021-12-15","1460"
"2021-12-16","1510"
"2021-12-17","1410"
"2021-12-18","1670"
"2021-12-19","1650"
"2021-12-20","1390"
"2021-12-21","1310"
"2021-12-22","1360"
"2021-12-23","1430"
"2021-12-24","1170"
"2021-12-25","1380"
"2021-12-26","1430"
"2021-12-27","1190"
"2021-12-28","1310"
"2021-12-29","1270"
"2021-12-30","1140"
"2021-12-31","1190"
"2022-01-01","1470"
"2022-01-02","1710"
"2022-01-03","1380"
"2022-01-04","1210"
"2022-01-05","1290"
"2022-01-06","1240"
"2022-01-07","1320"
"2022-01-08","1580"
"2022-01-09","1790"
"2022-01-10","1460"
"2022-01-11","1440"
"2022-01-12","1330"
"2022-01-13","1460"
"2022-01-14","1320"
"2022-01-15","1580"
"2022-01-16","1550"
"2022-01-17","1340"
"2022-01-18","1300"
"2022-01-19","1550"
"2022-01-20","1270"
"2022-01-21","1380"
"2022-01-22","1750"
"2022-01-23","1860"
"2022-01-24","1460"
"2022-01-25","1460"
"2022-01-26","1230"
"2022-01-27","1200"
"2022-01-28","1360"
"2022-01-29","1650"
"2022-01-30","1610"
"2022-01-31","1470"
"2022-02-01","1400"
"2022-02-02","1920"
"2022-02-03","1540"
"2022-02-04","1530"
"2022-02-05","1800"
"2022-02-06","1810"
"2022-02-07","1610"
"2022-02-08","1470"
"2022-02-09","1550"
"2022-02-10","1550"
"2022-02-11","1670"
"2022-02-12","1990"
"2022-02-13","1910"
"2022-02-14","1590"
"2022-02-15","1430"
"2022-02-16","1420"
"2022-02-17","1360"
"2022-02-18","1500"
"2022-02-19","1850"
"2022-02-20","1970"
"2022-02-21","1420"
"2022-02-22","1570"
"2022-02-23","1580"
"2022-02-24","1510"
"2022-02-25","1450"
"2022-02-26","1920"
"2022-02-27","2020"
"2022-02-28","1540"
"2022-03-01","2080"
"2022-03-02","1490"
"2022-03-03","1590"
"2022-03-04","1680"
"2022-03-05","2180"
"2022-03-06","2320"
"2022-03-07","1710"
"2022-03-08","1660"
"2022-03-09","2090"
"2022-03-10","1830"
"2022-03-11","1940"
"2022-03-12","3330"
"2022-03-13","2900"
"2022-03-14","2060"
"2022-03-15","2040"
"2022-03-16","1800"
"2022-03-17","1920"
"2022-03-18","2020"
"2022-03-19","2410"
"2022-03-20","2670"
"2022-03-21","1940"
"2022-03-22","1850"
"2022-03-23","1900"
"2022-03-24","1760"
"2022-03-25","1790"
"2022-03-26","2360"
"2022-03-27","2870"
"2022-03-28","2030"
"2022-03-29","2080"
"2022-03-30","1960"
"2022-03-31","2240"
"2022-04-01","2100"
"2022-04-02","2630"
"2022-04-03","2750"
"2022-04-04","2150"
"2022-04-05","2420"
"2022-04-06","2440"
"2022-04-07","2260"
"2022-04-08","2310"
"2022-04-09","2800"
"2022-04-10","2960"
