,상품이름,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10 (예측)
72,남자향수,85470,96370,88720,98810,87130,85700,95420,74640,77830,79270,74410,71220,70830,75960,59700,66350,65400,70510,74580,68070,58360,55810,56120,58950,56600,74490,63210,65000,57140,55410,64040,61000,75490,59040,57470,55300
73,닥터포헤어,278410,209580,81140,68830,53910,62880,37200,33230,42090,33440,34060,34260,36630,37770,53440,41030,36350,33060,29690,27780,30210,37260,31580,29820,32010,50170,42220,41940,40950,35980,33960,31540,31190,35900,40950,46310
74,입생로랑틴트,115820,158270,140500,119330,88280,74570,79800,71100,73410,77720,76030,69330,58820,71180,66220,66870,59010,47430,48580,41910,52880,53880,55290,51210,49430,59620,67240,58190,48560,40530,47560,41170,40990,46300,44090,44320
75,타투스티커,20120,20820,25250,23880,30230,35820,56180,79440,103000,73330,29680,22010,16480,15480,16920,17220,23380,33900,50360,101420,104980,74100,31100,28200,18600,17090,17360,16230,20530,33170,59360,75400,96280,65550,35020,29540
76,세타필크림,40140,38900,28290,27260,24900,19960,14100,10040,9640,7920,17150,30220,29290,30430,33030,19290,16560,13730,11840,8240,6930,9530,14730,23160,26410,28120,29190,23590,20150,15980,14260,9730,7430,9410,16840,24670
77,이솝핸드워시,13140,16180,17550,23870,25150,25610,25100,21810,24820,27350,30540,28520,32350,39770,36070,35060,36940,33640,37620,40300,42610,46720,41760,41510,43980,48750,49060,47220,41680,38380,38770,38760,39260,44840,38170,34810
78,헤라블랙쿠션리필,8890,9650,10390,8470,6710,6180,7180,7130,6910,7080,5540,7010,7830,6470,6690,5690,7410,7520,7130,7010,8000,11180,9860,11020,12940,14180,14960,13080,11690,12750,15940,17110,18060,16960,15810,13580
79,바이레도블랑쉬,48940,57500,62530,68800,68350,68560,71140,69920,69800,75220,84040,74230,58130,71730,70060,78010,74010,63280,63460,64400,64510,83930,70420,65760,58390,67480,74390,69930,62390,51860,55030,52560,58100,62690,58310,60260
80,설화수윤조에센스,27830,32230,40320,26150,26120,42580,37710,22630,23880,24830,38800,37070,32240,35560,35610,30990,27080,30410,27730,18430,17990,22460,29740,27440,29540,31890,42890,30900,29630,30770,35850,23230,22140,32220,40140,21290
81,모다모다샴푸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13510,16080,33010,88570,339900,194690,86750,77650,193640,133100,56170,65230,78840,72090,61140,104310,66630,44710,21540
82,라타플랑,0,0,0,0,0,0,0,0,0,10,0,0,20,850,2050,1670,470,450,520,560,460,320,1040,970,840,1160,850,1230,3800,8690,5870,3970,9850,7900,5430,4890
83,달팽이크림,68200,68390,68700,49570,48510,49120,52190,34380,30910,27120,38140,54010,55160,49070,47590,38540,34760,33490,34230,26200,22630,27970,34150,38270,44940,47780,49820,40310,35030,35170,38150,33670,30780,35190,37870,42330
84,멀티밤,3440,3400,2950,2220,1870,2100,225070,6040,2750,3820,5580,12310,10800,13190,14610,21200,52390,53780,79820,43720,42800,62220,54800,51260,46620,56920,84610,73320,43710,40320,40580,25210,23180,46390,23810,30450
85,아모스샴푸,18300,17320,18770,17760,20360,19710,18350,18980,17050,18010,17100,17400,16610,19510,19910,16200,17350,16830,18420,17130,17500,19580,18080,18150,18110,18750,22550,24440,24880,21350,23170,23870,25490,26000,23440,22950
86,메이크업포에버uhd파우더,35620,39630,40960,35770,38050,30460,38940,37890,36190,39960,23960,23260,27950,22730,31250,39230,39760,39980,39860,41470,41180,36650,30980,31250,32160,31090,35780,34060,37240,37190,42900,53720,42500,37840,33070,26580
87,김정문알로에큐어크림,35490,39690,38920,40460,42360,35620,23400,24290,15970,24300,33330,48750,45600,53030,49300,28910,25420,25490,22720,21040,20130,18400,18860,28290,46270,52570,45710,36280,24160,23110,25310,19340,16780,15020,18370,17540
88,비누,24910,25410,28180,36860,45470,37290,36070,36610,36960,40250,39500,30830,31310,35810,37220,31040,35360,34030,34380,33750,36960,40320,33770,31830,29370,30070,32550,32710,40270,35720,39380,41490,45210,44520,39990,40440
89,엘로엘선쿠션,1530,1170,1430,1740,3960,32170,73480,58390,30100,12780,8180,5060,6950,4230,3790,1970,2090,9420,5450,4290,3350,1140,760,2380,990,1410,1920,1710,22490,115030,107570,70350,46350,22370,14430,12710
90,조성아세럼스틱,4190,52100,37000,29110,7210,26620,3280,1200,1100,700,2520,3530,3750,3900,8370,2560,3590,2630,3160,1890,2500,3200,3190,10780,19460,49280,67140,53480,35760,35290,52260,32920,15790,14740,10970,10020
91,쿠션,69840,71150,73120,76790,86980,81410,76920,69230,73200,75710,74000,68670,66710,70340,72960,61930,68830,71060,86130,79220,73710,69640,56760,58150,54130,57870,60810,62220,68090,65510,73270,66540,64540,65170,58310,56700
92,설화수세트,5220,5760,8110,4350,4020,5440,5150,3500,4250,4460,9710,6060,6320,7730,8350,7060,5300,6730,7170,4470,4770,10960,28800,20900,22980,26920,43750,28830,24570,29830,34770,20090,17130,28150,36390,22270
93,젤네일,63940,83190,97860,95390,129870,107350,107090,117020,133510,120280,79340,63000,64660,94510,92690,69410,74820,80650,89520,103670,111310,81990,57960,56390,56630,67970,76070,64850,61930,63540,81710,96780,105660,80500,55510,49690
94,트리트먼트,33550,37150,34680,36180,37340,29670,27780,27880,28620,31220,31130,31380,31010,33170,34900,31800,35700,35190,33490,34180,34020,36300,31820,27340,34420,33540,33340,40700,42970,36000,36940,33600,39620,36580,31610,55230
95,독도토너,43660,46440,58920,67790,79600,66410,63050,54800,51260,59730,50000,45600,46370,52910,48870,40430,43340,34360,33250,35320,36120,36670,29660,29010,25850,32540,30770,30370,32790,25080,25610,25040,20500,21330,22810,22000
96,맥주효모샴푸,5410,9060,11220,11310,37900,15630,35480,24940,101380,32780,26810,22410,24090,29680,26100,19160,21750,33110,42330,33580,32030,43190,48760,78600,60520,45790,44850,41140,43690,36290,37190,30760,36390,42070,29600,35420
97,헤어스프레이,24340,22990,32500,21290,22420,20430,38890,35670,28770,52070,49730,30880,28100,56830,25830,23220,28680,31350,32060,28830,32140,32040,30160,33440,29060,26960,30070,45750,42120,38410,42200,39080,41230,34890,32210,83530
98,마녀공장클렌징오일,45480,53370,26310,36170,41010,29200,34870,39200,36920,32660,29730,22480,24220,27970,24240,21080,22560,23020,25900,31190,34710,32440,30140,28200,28480,28120,25630,28260,28370,26040,31210,59970,30900,32580,34620,28410
99,디올립밤,17140,25030,26550,23450,18340,16000,18050,12310,13690,15510,21710,28110,26400,35130,32410,31370,24300,20560,28360,18260,19190,25160,34240,35400,41570,61620,60310,59660,40460,34800,37990,26950,24850,30920,32630,37750
